UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Britta Biederlack,@BBiederlack,2020-04-08T10:15:40.000Z,"Exhausted but happy return to Germany after 9 months in #NewZealand and a 37 hour-trip with great 
@FlyAirNZ
 thank you 
@HeikoMaas
 and #waimeacollege and 
@HayleyRoper11
 #Rueckholaktion #COVID19 #Neuseeland #Quarantine #Quarantaene",,,,,6,['https://pbs.twimg.com/media/EVEvMAcXYAITGe9?format=jpg&name=small'],https://twitter.com/BBiederlack/status/1247830461885317120
Joas Scholz,@JoasScholz,2020-04-08T17:23:15.000Z,"Emperor Donaldus I at bad work

https://edition.cnn.com/2020/04/07/politics/trump-sidelines-pentagon-watchdog-coronavirus-funds/index.html…

#USA #Trump #COVID19","Trump removes independent watchdog tasked with overseeing coronavirus emergency funds
President Donald Trump has removed the acting inspector general for the Defense Department, Glenn Fine, from his post -- a decision that means Fine will no longer chair the Pandemic Response Accoun...
edition.cnn.com",,1,1,1,['https://pbs.twimg.com/card_img/1394899205056090114/sYcgUZp1?format=jpg&name=small'],https://twitter.com/JoasScholz/status/1247938066087641090
OLAMIREWAJU AYODELE-YUSUF ISIDACHOME,,2020-04-08T14:47:37.000Z,"In light of the #covi̇d19 lockdown, I stopped eating much whilst at home  so as to lose weight. Boom irriz-Warri-Rizz. 
#stayhome 
#staysafe 
#stayhealthy @ Cologne, Germany https://instagram.com/p/B-uUkuUopXb/?igshid=18djrxrmleso9…",,🛫 🛬 🏠 💥,,,,[],https://twitter.com/Olamirewaju22/status/1247898899399864323
feyruz,@MarbleBussines,2020-04-08T08:01:33.000Z,"Turkey President send  Medical equipments mask ,overalls........      Air Plane full today to Serbia , Bosna Herzegowina, Makedonya and Kosovo hope other countries will do it also Well done Turkey #COVID19de
#COVID19 #italy #Spain #Maske #CoronaVirusDE # https://instagram.com/p/B-tersEp1N9/?igshid=w3ozi65k1hjo…",,,,,2,[],https://twitter.com/MarbleBussines/status/1247796712904613890
Christoph Burkhardt,@chburkhardt,2020-04-08T05:45:17.000Z,"Higher levels of #AirPollution dramatically accelerate the devastating effects of #Covid19 - stay healthy indoors, clear your indoor air https://nytimes.com/2020/04/07/climate/air-pollution-coronavirus-covid.html…","John Englart EAM
@takvera
 · 7. Apr. 2020
New research from Harvard University Medical school: “statistically significant link between pollution and coronavirus deaths. “ #covid19 #coronavirus 
New Research Links Air Pollution to Higher Coronavirus Death Rates - The New York Times https://nytimes.com/2020/04/07/climate/air-pollution-coronavirus-covid.html…",🌏 💦,,1,,['https://pbs.twimg.com/profile_images/1340289670236663808/Rpx6DfyH_mini.jpg'],https://twitter.com/chburkhardt/status/1247762417838252040
#Hambi bleibt,@DanniPilger,2020-04-08T10:05:48.000Z,"https://youtube.com/playlist?list=PLzFYjJINUTzllQH64ypelovZlTj44U5dN… 8.4.19 
@FFF_Muenster
 Streik #münster #FridaysForFuture #nrw #COVID19 #coronavirusdeutschland #ZuhauseBleiben 
@EndeMunster","8.3.19 Fridays for Future Münster
youtube.com",,,2,,[],https://twitter.com/DanniPilger/status/1247827979830517761
Murdock09,@Dodo1084,2020-04-09T21:36:52.000Z,"Alles steht im Zeichen von #Covid19, die ganze Welt steht still. Die ganze Welt? Nein! Ein kleines gallisches Dorf leistet Widerstand.

#autokino
#wirbleibenimauto",,,,,10,['https://pbs.twimg.com/media/EVMUsQZWAAEfEPQ?format=jpg&name=small'],https://twitter.com/Dodo1084/status/1248364281172824071
Chris,@cs50935,2020-04-09T08:10:14.000Z,"Taxifahrer haben es in diesen Zeiten auch nicht leicht...
No easy times for Taxidrivers these days...
.
.
.
#taxi #taxirufköln #mytaxi #taxidriver #mietwagen #stayhome #covid #covid19 #corona #warten #waiting #koeln… https://instagram.com/p/B-wL08VKjWW/?igshid=j8vpvvo1lj16…",,,1,,1,[],https://twitter.com/cs50935/status/1248161282047557632
Oliver Neuroth,@ONeuroth,2020-04-09T17:10:11.000Z,"Bisher hatte #Portugal es geschafft, die Zahl der Infizierten auf einem niedrigen Niveau zu halten. Nun steigt sie sprunghaft hat. Der Grund: Die Behörden führen mehr Tests durch. #Coronavirus #Covid19","Coronavirus-Pandemie: Deutlich mehr Fälle in Portugal
Bislang verzeichnete Portugal in der Corona-Krise nur wenig Infizierte - nun schnellt die Zahl sprunghaft nach oben. Der Grund: Mittlerweile werden deutlich mehr Menschen auf das Virus getestet. Von...
tagesschau.de",,4,1,3,[],https://twitter.com/ONeuroth/status/1248297168659718147
Wolfgang Große Entrup,@GrosseEntrupVCI,2020-04-10T17:16:15.000Z,"Ups? Verlaufen oder doch die A3...Deutschlands meistbefahrenstes Autobahnstück? #StayAtHome  #FitForRestart #ostern2020 #COVID19 
@chemieverband",,,,1,21,['https://pbs.twimg.com/media/EVQioVxX0AEnWyG?format=jpg&name=small'],https://twitter.com/GrosseEntrupVCI/status/1248661080215302144
Andreas Schreiber,@onyame,2020-04-10T09:51:28.000Z,Singapore released the source code of their #TraceTogether contact tracing app under #OpenSource license GPL-3 as #OpenTrace: https://github.com/opentrace-community… #Covid19 #COVIDー19 #privacy,"OpenTrace
OpenTrace is the reference implementation of BlueTrace, a privacy-preserving protocol for epidemiological contact tracing to fight COVID-19 - OpenTrace
github.com",,1,4,5,['https://pbs.twimg.com/card_img/1394787148453187585/wYlwTWXx?format=png&name=360x360'],https://twitter.com/onyame/status/1248549146350555137
Georgios Matis,@GeorgiosMatis,2020-04-10T13:45:43.000Z,"#COVID19de #COVIDー19 #COVID19deutschland #COVID19 #Uniklinik #Köln 
@UKKoeln
 @UniCologne
 @koeln_de
 @ksta_koeln
 @KoelnischeR
 @radiokoeln
 @WDRaktuell
 @GSB_NRW
 @AU_de
 @BILD_Koeln
 @express24
 @koelnnews
 @UniCologneNY
 @CityNEWS_Koeln",,,,1,1,['https://pbs.twimg.com/media/EVPycCTUEAA3g9j?format=jpg&name=small'],https://twitter.com/GeorgiosMatis/status/1248608097192435722
E.T.,@et_fullhd,2020-04-11T19:34:14.000Z,"Warteschlange bestehend aus Rettungswägen in Moskau. Der Fahrer sagt, dass er 9 Stunden gewartet hat bis er die erkrante Person in der Aufnahme abgegeben hat.
#corona, #COVID19","Alexey Navalny
@navalny
 · 11. Apr. 2020
Посмотрите видео, снятое из машины ""Скорой помощи"" и у вас больше не будет вопросов на тему ""почему мы видим ролики с гигантскими очередями скорых перед больницами"".
Чтобы сдать больного нужно прождать 9 часов.",,1,,,"['https://pbs.twimg.com/profile_images/980761782909272064/h-qrVrmY_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1248998876868153345/pu/img/ZQRlYgCkW9FYwaB1.jpg']",https://twitter.com/et_fullhd/status/1249058194393042944
Heiko Schomberg,@schomberg,2020-04-11T16:01:23.000Z,Heißt #COVID19 in #Mönchengladbach eigentlich St. Virus?!!,,,1,,7,[],https://twitter.com/schomberg/status/1249004628945010691
Andreas Schreiber,@onyame,2020-04-11T22:09:55.000Z,"The mathematian John Horton Conway died because of #Covid19 . He was famous for his cellular automata Game of Life. Read this 
@QuantaMagazine
 article about his life and work: https://quantamagazine.org/john-conways-life-in-games-20150828/… #COVIDー19 #JohnConway #GameOfLife",GIF,😞,2,8,9,['https://pbs.twimg.com/tweet_video_thumb/EVWvbE4WAAIydWA.jpg'],https://twitter.com/onyame/status/1249097373386711048
Exil1904er,@Exil1904er,2020-04-12T10:16:21.000Z,Was ist eigentlich wenn es irgendwann einen #Impfstoff gegen #Corona gibt und die Impfgegner wieder aus den Löchern kommen? #COVID19,,,2,1,6,[],https://twitter.com/Exil1904er/status/1249280184395718658
