,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2020-10-09,sperrstunde,coronavirus,großstadt,bürgermeister,desinfektion,oberfläche,kommentar,neuinfektion,zentralregierung,corona
2020-10-10,warnstufe,corona,neuinfektion,geschwindigkeit,zuhause,alkoholkonsum,einschnitt,pandemie,zahl,hauptgeschäftsführerin
2020-10-11,corona,öffnungszeit,einwohner,feier,gesundheit,zahl,sondersitzung,grenzwert,großstadt,neuinfektion
2020-10-12,warnstufe,verlassen,corona,bußgelder,geschichte,bar,sonntag,tag,kontaktperson,neuinfektion
2020-10-13,weihnachtsferie,corona,europaminister,kennzeichnung,flickenteppich,einschätzung,ampel,gasse,flughafen,weltwirtschaft
2020-10-14,maßnahme,klassenzimmern,gesundheitsnotstand,intensivbetten,corona,gesundheitsversorgung,notaufnahme,land,regierung,sperrstunde
2020-10-15,corona,krankschreibung,glaubenszentrum,polizistinnen,kritikern,beherbergungsverbote,verwaltung,pandemie,zahl,debatte
2020-10-16,sperrstunde,beherbergungsverbot,corona,frühjahr,beherberbungsverbot,vermieterin,infektionstreiber,beherbergungsverbote,gipfel,oberverwaltungsgericht
2020-10-17,corona,reifen,container,nachverfolgung,beherbergungsverbote,quarantäne,test,maßnahme,bundeskanzlerin,mädchen
2020-10-18,corona,buchmesse,kultur,innenstadt,haushaltsentwurf,hochzeit,gastronomie,auszahlung,samstagabend,soforthilfen
2020-10-19,corona,palästinenser,krankschreibung,aufgabe,föderalist,geburtstagsfeiern,integrationsgipfel,krankenhaussprecherin,migrantenverbänden,parlamentsverfahren
2020-10-20,kommune,corona,stadt,pandemie,zahl,wert,angabe,grenzschließung,risikogebiet,grenzkontrolle
2020-10-21,berchtesgadener,politiker,auslandseinsätze,ausschusses,erstarken,kriseneinsätzen,notfallplan,pionier,placebo,proband
2020-10-22,corona,weihnachtsmarkt,stadt,prozent,unternehmerlohn,regel,landkreis,freiberuflern,planungssicherheit,kommune
2020-10-23,corona,sperrstunde,neuinfektion,zahl,august,mensch,störung,pandemie,verwaltungsgericht,übermittlung
2020-10-24,parteitag,corona,aufstehen,parteivorstand,zahl,kultur,höchstwerte,quote,million,reserve
2020-10-25,corona,geist,polizei,maske,bar,restaurant,gegner,neuinfektion,zahl,stunde
2020-10-26,stadtbücherei,schulgebäuden,generaldirektor,corona,neuinfektion,intensivstation,krankenhaus,weltgesundheitsorganisation,kontakt,theater
2020-10-27,corona,antikörper,paketsendung,paket,spielstätte,prozent,gesellschaft,mensch,weihnachtszeit,ministerpräsident
2020-10-28,corona,ddos,neuinfektion,lockdown,november,diakonie,fernverkehr,gaststätte,pandemie,gastronomiebetrieb
2020-10-29,corona,bundestag,regierungserklärung,generalaudienz,parlament,land,einschränkung,gastronomie,außer,branche
2020-10-30,november,corona,sondersitzung,friedhof,freiheit,allerheiligen,christenmensch,steuererhöhung,landtag,grab
2020-10-31,corona,teil,material,november,kindergärten,lockdown,anwälten,bouffier,case,erläuterung
2020-11-01,corona,bundeswehr,schule,einschränkung,frühjahr,protest,pandemie,bezirk,schließung,soldat
2020-11-02,corona,kontakt,anders,bestandsaufnahme,coronaviruszeit,einbahnstrassen,schwaben,testaktion,wellenbrecher,herzen
2020-11-03,kulturhaus,bühne,schließung,neufassung,zahl,corona,vorlage,infektionsschutzgesetzes,intensivstation,gaststätte
2020-11-04,diw,zahl,corona,ansteckungsfälle,neuinfektion,flug,passantenfrequenz,tageszeit,arbeitsbereich,außenkontakt
2020-11-05,corona,november,zahl,soldat,neuinfektion,parteitag,coronavirus,diw,land,test
2020-11-06,nerze,triage,donnerstagabend,corona,schlachthof,polizist,berufsausübungsfreiheit,berufsgenossenschaft,leuchtraketen,pflastersteine
2020-11-07,migration,corona,höchstwert,oktober,fett,neuinfektion,luftverschmutzung,prozent,route,pflegeeinrichtung
2020-11-08,symptom,uhr,corona,bankrotterklärung,dunkelheit,ethikkommission,politkerin,sachbeschädigung,beibehaltung,kulturszene
